devEUI,deviceName,timestamp,fCnt,gatewayID,loRaSNR,rssi,frequency,dr,latitude,longitude,altitude,battery,humidity,pressure,temperature,gas_resistance,acc_x,acc_y,acc_z
ac1f09fffe044ddc,RAK5205-1,1621021325,264,ac1f09fffe0468cf,10.5,-63,867700000,5,47.8923,1.8948,108.2,4.21,57.5,1000.9,17.4,30.68,-0.028,0.961,-0.025
ac1f09fffe044ddc,RAK5205-1,1621021373,265,ac1f09fffe0468cf,9.8,-65,867700000,5,47.8925,1.895,127.4,4.21,57.5,1000.9,17.4,30.16,-0.023,0.965,-0.024
ac1f09fffe044ddc,RAK5205-1,1621021434,266,ac1f09fffe0468cf,9.8,-59,868100000,5,47.8923,1.8947,126.5,3.8,57,1000.9,17.4,29.11,-0.027,0.962,-0.027
ac1f09fffe044ddc,RAK5205-1,1621021475,267,ac1f09fffe0468cf,9.8,-57,868300000,5,47.8924,1.8949,139.3,3.81,57,1000.9,17.5,30.35,-0.026,0.971,-0.027
ac1f09fffe044ddc,RAK5205-1,1621021556,268,ac1f09fffe0468cf,10,-59,868100000,5,47.8923,1.8949,128.8,3.82,56.5,1000.9,17.5,27.37,-0.027,0.969,-0.023
ac1f09fffe044ddc,RAK5205-1,1621021595,269,ac1f09fffe0468cf,7,-63,867500000,5,47.8925,1.8949,128.4,4.21,57,1000.9,17.5,29.71,-0.024,0.972,-0.028
ac1f09fffe044ddc,RAK5205-1,1621021656,270,ac1f09fffe0468cf,9.8,-56,867900000,5,47.8924,1.8948,148.3,3.65,56.5,1000.9,17.5,28.52,-0.027,0.967,-0.027
ac1f09fffe044ddc,RAK5205-1,1621021710,271,ac1f09fffe0468cf,8,-55,868500000,5,47.8923,1.8946,149.8,3.82,57,1000.9,17.5,28.79,-0.029,0.974,-0.025
ac1f09fffe044ddc,RAK5205-1,1621021757,272,ac1f09fffe0468cf,9.3,-61,867900000,5,47.8924,1.8947,127.7,4.21,57,1000.9,17.5,29.36,-0.027,0.963,-0.031
ac1f09fffe044ddc,RAK5205-1,1621021806,273,ac1f09fffe0468cf,7.5,-61,867500000,5,47.8921,1.8944,219.4,4.22,57,1000.9,17.5,29.77,-0.029,0.965,-0.031
ac1f09fffe044ddc,RAK5205-1,1621021859,274,ac1f09fffe0468cf,10.5,-59,867900000,5,47.8924,1.8948,127.7,4.21,57,1000.9,17.5,29.34,-0.027,0.971,-0.026
ac1f09fffe044ddc,RAK5205-1,1621021895,275,ac1f09fffe0468cf,5.8,-63,867500000,5,47.8924,1.8949,116.9,4.21,57,1000.9,17.5,31.25,-0.043,0.965,-0.012
ac1f09fffe044ddc,RAK5205-1,1621021943,276,ac1f09fffe0468cf,9.5,-59,868100000,5,47.8924,1.8948,128.3,4.21,57,1000.9,17.4,30.84,-0.028,0.974,-0.024
ac1f09fffe044ddc,RAK5205-1,1621021985,277,ac1f09fffe0468cf,7.8,-58,867500000,5,47.8924,1.8947,109.8,3.82,57,1000.9,17.5,31.07,-0.028,0.968,-0.023
ac1f09fffe044ddc,RAK5205-1,1621022039,278,ac1f09fffe0468cf,8.8,-59,867900000,5,47.8925,1.8949,67.4,3.81,57,1000.9,17.4,30.07,-0.028,0.972,-0.023
ac1f09fffe044ddc,RAK5205-1,1621022075,279,ac1f09fffe0468cf,6,-57,868500000,5,47.8924,1.8948,101.4,4.21,57,1000.9,17.5,31.68,-0.031,0.97,-0.023
ac1f09fffe044ddc,RAK5205-1,1621022123,280,ac1f09fffe0468cf,10.3,-59,868100000,5,47.8924,1.895,108.2,4.21,57,1000.9,17.4,31.11,-0.028,0.968,-0.023
ac1f09fffe044ddc,RAK5205-1,1621022167,281,ac1f09fffe0468cf,7,-51,867700000,5,47.8924,1.8948,128.1,3.82,57,1000.9,17.4,31.23,-0.023,0.97,-0.017
ac1f09fffe044ddc,RAK5205-1,1621022221,282,ac1f09fffe0468cf,7.8,-58,868500000,5,47.8924,1.8949,128.7,4.22,57,1000.9,17.4,30.13,-0.022,0.971,-0.024
ac1f09fffe044ddc,RAK5205-1,1621022280,283,ac1f09fffe0468cf,9.5,-58,868100000,5,47.8927,1.8952,113.6,4.2,57,1000.9,17.4,29.46,-0.026,0.97,-0.02
ac1f09fffe044ddc,RAK5205-1,1621022333,284,ac1f09fffe0468cf,9.5,-58,868100000,5,47.8923,1.8946,128.2,3.81,57,1001,17.5,29.36,-0.028,0.972,-0.025
ac1f09fffe044ddc,RAK5205-1,1621022379,285,ac1f09fffe0468cf,8,-61,867500000,5,47.892,1.8943,284.5,3.82,57,1001,17.5,30.07,-0.027,0.974,-0.029
ac1f09fffe044ddc,RAK5205-1,1621022429,286,ac1f09fffe0468cf,7.5,-61,867500000,5,47.8924,1.8948,128,4.21,57,1001,17.4,29.94,-0.026,0.968,-0.029
ac1f09fffe044ddc,RAK5205-1,1621022465,287,ac1f09fffe0468cf,8,-55,868500000,5,47.8923,1.8947,128.6,3.81,57,1001,17.4,31.56,-0.029,0.969,-0.029
ac1f09fffe044ddc,RAK5205-1,1621022519,288,ac1f09fffe0468cf,9,-59,868100000,5,47.8923,1.8947,129.2,4.21,57,1001,17.4,30.16,-0.026,0.968,-0.023
ac1f09fffe044ddc,RAK5205-1,1621022555,289,ac1f09fffe0468cf,10.8,-58,868300000,5,47.8924,1.8949,130.1,3.81,57.5,1001,17.4,31.63,-0.025,0.966,-0.027
ac1f09fffe044ddc,RAK5205-1,1621022605,290,ac1f09fffe0468cf,9.8,-58,868300000,5,47.8926,1.8951,41,4.21,57.5,1001,17.4,30.57,-0.025,0.97,-0.031
ac1f09fffe044ddc,RAK5205-1,1621022650,291,ac1f09fffe0468cf,7.3,-56,868500000,5,47.8923,1.8947,170.9,3.81,57.5,1001,17.4,30.73,-0.028,0.97,-0.028
ac1f09fffe044ddc,RAK5205-1,1621022709,292,ac1f09fffe0468cf,9.8,-61,868100000,5,47.8922,1.8947,249,3.82,57,1001,17.4,29.31,-0.028,0.967,-0.024
ac1f09fffe044ddc,RAK5205-1,1621022761,293,ac1f09fffe0468cf,9.5,-59,867700000,5,47.8924,1.8948,128.8,3.83,57,1001,17.4,29.67,-0.031,0.97,-0.029
ac1f09fffe044ddc,RAK5205-1,1621022815,294,ac1f09fffe0468cf,10.3,-58,867700000,5,47.8921,1.8946,127.8,3.65,57.5,1000.9,17.4,29.4,-0.026,0.969,-0.029
ac1f09fffe044ddc,RAK5205-1,1621022875,295,ac1f09fffe0468cf,9.8,-59,867900000,5,47.8924,1.8949,128.4,3.82,57,1000.9,17.4,28.68,-0.028,0.965,-0.023
ac1f09fffe044ddc,RAK5205-1,1621022915,296,ac1f09fffe0468cf,10.3,-59,867900000,5,47.892,1.8944,127.9,4.21,57,1000.9,17.5,30.42,-0.036,0.974,-0.048
ac1f09fffe044ddc,RAK5205-1,1621022966,297,ac1f09fffe0468cf,8.8,-58,867700000,5,47.8926,1.8951,126.9,4.21,57,1000.9,17.4,29.96,-0.026,0.972,-0.022
ac1f09fffe044ddc,RAK5205-1,1621023005,298,ac1f09fffe0468cf,9.5,-59,868100000,5,47.8923,1.8949,128.2,3.82,57.5,1000.9,17.4,31.28,-0.024,0.968,-0.022
ac1f09fffe044ddc,RAK5205-1,1621023053,299,ac1f09fffe0468cf,10,-59,868100000,5,47.8924,1.8948,105.1,4.22,57.5,1001,17.4,30.73,-0.026,0.965,-0.02
ac1f09fffe044ddc,RAK5205-1,1621023095,300,ac1f09fffe0468cf,8.8,-59,867700000,5,47.8924,1.8948,113.9,3.81,57.5,1001,17.4,31.07,-0.027,0.972,-0.024
ac1f09fffe044ddc,RAK5205-1,1621023150,301,ac1f09fffe0468cf,7.5,-61,867500000,5,47.8924,1.8948,112.7,4.21,57.5,1001,17.4,30.01,-0.024,0.967,-0.028
ac1f09fffe044ddc,RAK5205-1,1621023204,302,ac1f09fffe0468cf,8,-57,868500000,5,47.8924,1.8946,91.6,4.21,57,1001,17.4,29.73,-0.024,0.97,-0.024
ac1f09fffe044ddc,RAK5205-1,1621023250,303,ac1f09fffe0468cf,9.3,-59,867900000,5,47.8926,1.8957,126,3.81,57.5,1000.9,17.4,30.09,-0.031,0.973,-0.024
ac1f09fffe044ddc,RAK5205-1,1621023299,304,ac1f09fffe0468cf,10.8,-59,868100000,5,47.8924,1.8946,109.8,3.81,57.5,1001,17.4,30.11,-0.027,0.968,-0.024
ac1f09fffe044ddc,RAK5205-1,1621023335,305,ac1f09fffe0468cf,10,-59,868100000,5,47.8924,1.8948,118.7,3.81,57.5,1001,17.4,31.89,-0.029,0.967,-0.027
ac1f09fffe044ddc,RAK5205-1,1621023388,306,ac1f09fffe0468cf,6.8,-57,868500000,5,47.8924,1.8951,125.4,4.21,57.5,1001,17.3,30.37,-0.03,0.967,-0.023
ac1f09fffe044ddc,RAK5205-1,1621023431,307,ac1f09fffe0468cf,9.3,-59,868100000,5,47.8925,1.8953,126.7,3.81,57.5,1001,17.4,30.95,-0.028,0.967,-0.024
ac1f09fffe044ddc,RAK5205-1,1621023486,308,ac1f09fffe0468cf,10,-57,868300000,5,47.8925,1.8949,110,4.21,57.5,1000.9,17.3,29.98,-0.031,0.968,-0.029
ac1f09fffe044ddc,RAK5205-1,1621023544,309,ac1f09fffe0468cf,7.3,-62,867500000,5,47.8924,1.8949,117.7,3.81,57.5,1000.9,17.4,29.15,-0.024,0.97,-0.024
ac1f09fffe044ddc,RAK5205-1,1621023593,310,ac1f09fffe0468cf,11,-59,868100000,5,47.8924,1.8947,128.8,3.81,57.5,1000.9,17.4,29.6,-0.024,0.967,-0.025
ac1f09fffe044ddc,RAK5205-1,1621023638,311,ac1f09fffe0468cf,9.8,-55,868300000,5,47.8926,1.8955,125.4,4.21,57.5,1000.9,17.4,30.35,-0.025,0.97,-0.029
ac1f09fffe044ddc,RAK5205-1,1621023689,312,ac1f09fffe0468cf,9,-57,867900000,5,47.8924,1.8948,106.5,4.21,57.5,1000.9,17.3,30.01,-0.026,0.969,-0.03
ac1f09fffe044ddc,RAK5205-1,1621023725,313,ac1f09fffe0468cf,7.5,-57,868500000,5,47.8924,1.8949,121.7,4.21,57.5,1000.9,17.3,31.49,-0.026,0.97,-0.027
